,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
85,Sumqayıt,Mercedes,E 250,1994,Sedan,Gümüşü,2.5 L/126 a.g./Dizel,435 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 300 AZN,5.0,1.0,Avropa
86,Sumqayıt,LADA (VAZ),Niva,2013,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,135 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 500 AZN,5.0,2.0,Avropa
87,Lənkəran,Toyota,RAV 4,2022,Offroader / SUV,Boz,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Rəsmi diler
88,Sumqayıt,Hyundai,Sonata,2006,Sedan,Ağ,2.4 L/161 a.g./Benzin,187 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,5.0,1.0,Rəsmi diler
89,Bakı,Toyota,RAV 4,2021,Offroader / SUV,Qara,2.0 L/175 a.g./Benzin,9 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",32 000 USD,5.0,1.0,Avropa
90,Sumqayıt,Hyundai,Elantra,2010,Sedan,Yaş Asfalt,1.6 L/132 a.g./Benzin,170 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 300 AZN,5.0,1.0,Avropa
91,Sumqayıt,Hyundai,Sonata,2006,Sedan,Ağ,2.4 L/174 a.g./Benzin,261 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 800 AZN,5.0,2.0,Avropa
92,Sumqayıt,Kia,Rio,2005,Hetçbek,Göy,1.5 L/110 a.g./Dizel,296 321 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,5.0,1.0,Avropa
93,Sumqayıt,Mercedes,C 180,1995,Sedan,Qara,1.8 L/122 a.g./Benzin,341 621 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 600 AZN,5.0,1.0,Avropa
94,Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3 L/193 a.g./Benzin,295 639 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 800 AZN,5.0,1.0,Avropa
95,Sumqayıt,Dacia,Logan,2009,Universal,Boz,1.5 L/86 a.g./Dizel,184 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 000 AZN,7.0,2.0,Avropa
96,Sumqayıt,Mercedes,C 230,1998,Sedan,Qara,2.3 L/193 a.g./Benzin,287 335 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
